parkCode,year,recreationVisits,nonRecreationVisits
glca,2007,1894114.0,19306.0
goga,2007,14397313.0,0.0
natr,2007,5777666.0,7248237.0
gate,2007,8813204.0,1358523.0
blca,2007,219576.0,0.0
biso,2007,626751.0,0.0
mora,2007,1047685.0,520183.0
bisc,2007,517442.0,0.0
dewa,2007,4836229.0,202667.0
colm,2007,395260.0,318969.0
lake,2007,7622139.0,276450.0
grca,2007,4413668.0,102069.0
olym,2007,2988686.0,868793.0
noca,2007,19534.0,0.0
redw,2007,385171.0,0.0
deva,2007,704122.0,24856.0
grsm,2007,9372253.0,11671604.0
yose,2007,3503428.0,134043.0
dena,2007,458308.0,724493.0
blri,2007,17352286.0,1942260.0
grte,2007,2588574.0,1389996.0
bith,2007,95285.0,0.0
caha,2007,2237378.0,115835.0
guis,2007,2034294.0,84618.0
hale,2007,1322817.0,29088.0
acad,2007,2202228.0,47100.0
cure,2007,964640.0,0.0
chic,2007,1368806.0,1401050.0
zion,2007,2657281.0,21900.0
caco,2007,4351609.0,29548.0
lamr,2007,984108.0,0.0
seki,2007,,
pore,2007,2206294.0,25788.0
whis,2007,782014.0,6082.0
apis,2007,182396.0,1054.0
buff,2007,1194043.0,0.0
chis,2007,360806.0,14249.0
nace,2007,,
colo,2007,3343910.0,2088221.0
badl,2007,886654.0,18864.0
wica,2007,603158.0,237830.0
gari,2007,118169.0,0.0
upde,2007,248284.0,2130.0
laro,2007,1450438.0,1200.0
yell,2007,3151343.0,991117.0
glec,2007,,
neri,2007,1178012.0,2400.0
katm,2007,82634.0,325.0
gicl,2007,41690.0,0.0
calo,2007,860602.0,4800.0
romo,2007,2895383.0,195491.0
bawa,2007,,
natr,2008,5747235.0,8155056.0
bisc,2008,686062.0,0.0
seki,2008,,
chch,2008,993535.0,2296418.0
lake,2008,7601863.0,275717.0
yose,2008,3431514.0,130142.0
grsm,2008,9044010.0,11229220.0
dewa,2008,5127074.0,130210.0
gate,2008,9431021.0,1282521.0
hale,2008,1185068.0,29088.0
grca,2008,4425314.0,65831.0
mora,2008,1163227.0,572811.0
shen,2008,1075878.0,10962.0
goga,2008,14554750.0,0.0
liri,2008,197693.0,0.0
suit,2008,,
noca,2008,18725.0,0.0
bith,2008,93634.0,0.0
buff,2008,1405802.0,0.0
pinn,2008,166988.0,0.0
chic,2008,1230609.0,1485026.0
redw,2008,396899.0,0.0
neri,2008,1212854.0,2400.0
bawa,2008,,
gwmp,2008,7009630.0,30316056.0
cure,2008,1007444.0,0.0
cany,2008,436715.0,0.0
blri,2008,16309307.0,1942260.0
guis,2008,2054201.0,78706.0
romo,2008,2757390.0,172362.0
chat,2008,2826171.0,0.0
glca,2008,1947507.0,19852.0
sagu,2008,699137.0,2040044.0
grte,2008,2485987.0,1346029.0
maca,2008,446174.0,137944.0
upde,2008,284347.0,2130.0
dena,2008,432309.0,754986.0
biso,2008,675928.0,0.0
indu,2008,1833596.0,29957.0
dino,2008,201724.0,732.0
grfa,2008,,
glac,2008,1808027.0,18538.0
lavo,2008,377361.0,0.0
caha,2008,2146392.0,108724.0
moja,2008,618285.0,0.0
gari,2008,112262.0,0.0
nama,2008,,
zion,2008,2690154.0,21900.0
amis,2008,1980717.0,1128.0
hafe,2008,254162.0,0.0
cuva,2008,2828233.0,204.0
goga,2009,15036372.0,0.0
lake,2009,7668689.0,278141.0
havo,2009,1233105.0,1820039.0
choh,2009,3751681.0,11880.0
voya,2009,222429.0,2580.0
grsm,2009,9491437.0,11743856.0
grca,2009,4348068.0,70710.0
bawa,2009,,
hosp,2009,1284707.0,2079230.0
chat,2009,2830655.0,0.0
jotr,2009,1304471.0,4823.0
natr,2009,5934363.0,9433442.0
grfa,2009,,
bisc,2009,437745.0,0.0
sacn,2009,564326.0,0.0
guis,2009,4132674.0,92255.0
glca,2009,1960345.0,19349.0
romo,2009,2822325.0,169204.0
neri,2009,1144318.0,2400.0
yose,2009,3737472.0,141586.0
viis,2009,415847.0,281864.0
chic,2009,1238484.0,1489028.0
bibe,2009,363905.0,2364.0
dena,2009,358041.0,826692.0
rich,2009,134634.0,149200.0
moja,2009,528865.0,0.0
caha,2009,2282543.0,121919.0
dewa,2009,5213030.0,123984.0
seki,2009,,
upde,2009,258311.0,2130.0
deva,2009,828574.0,29526.0
dino,2009,203862.0,732.0
bith,2009,100509.0,0.0
lavo,2009,365639.0,0.0
blue,2009,45904.0,0.0
sagu,2009,665234.0,2161236.0
gate,2009,9010522.0,1297184.0
zion,2009,2735402.0,21900.0
noca,2009,26972.0,0.0
slbe,2009,1165836.0,0.0
blri,2009,15936316.0,1942260.0
colo,2009,3324751.0,2092202.0
glac,2009,2031348.0,22986.0
acad,2009,2227698.0,47100.0
laro,2009,1382663.0,1200.0
yell,2009,3295187.0,856988.0
grte,2009,2580081.0,1265757.0
gari,2009,113185.0,0.0
chis,2009,348745.0,13388.0
grsa,2009,289955.0,470.0
natr,2010,5910950.0,8081771.0
grsm,2010,9463538.0,11571286.0
neri,2010,1151213.0,2400.0
yose,2010,3901408.0,146473.0
goga,2010,14271503.0,0.0
sagu,2010,717614.0,2282663.0
chch,2010,991901.0,2284787.0
glac,2010,2200048.0,18445.0
ozar,2010,1416529.0,0.0
pore,2010,2067271.0,25788.0
casa,2010,708549.0,0.0
amis,2010,1574322.0,1128.0
havo,2010,1304667.0,1857057.0
zion,2010,2665972.0,21900.0
blri,2010,14517118.0,1942260.0
ever,2010,915538.0,4518.0
chis,2010,277515.0,10671.0
dena,2010,378855.0,872110.0
bisc,2010,467612.0,0.0
yell,2010,3640185.0,912663.0
dewa,2010,5285761.0,125831.0
grfa,2010,,
viis,2010,493477.0,330625.0
mora,2010,1191754.0,540163.0
lake,2010,7080758.0,256815.0
buff,2010,1545599.0,0.0
glca,2010,2124467.0,26075.0
caco,2010,4653706.0,29548.0
grsa,2010,283284.0,470.0
seki,2010,,
indu,2010,2150345.0,15261.0
olym,2010,2844563.0,884680.0
pais,2010,612716.0,1800.0
grca,2010,4388386.0,81881.0
romo,2010,2955821.0,172626.0
vafo,2010,1617511.0,0.0
grte,2010,2669374.0,1332651.0
oxhi,2010,,
gate,2010,8820757.0,1226014.0
laro,2010,1324074.0,1200.0
deva,2010,984775.0,35766.0
biso,2010,656374.0,0.0
caha,2010,2193292.0,115488.0
guis,2010,4283747.0,92957.0
noca,2010,24659.0,0.0
apis,2010,156945.0,1054.0
redw,2010,418820.0,0.0
gari,2010,107223.0,0.0
bica,2010,258637.0,6900.0
appa,2010,,
samo,2010,568371.0,65054.0
cuva,2010,2492670.0,186.0
grca,2011,4298178.0,62265.0
goga,2011,14567487.0,0.0
acad,2011,2374645.0,47100.0
indu,2011,1840513.0,5585.0
colo,2011,3414577.0,2058516.0
glac,2011,1853564.0,22914.0
deva,2011,946867.0,34324.0
neri,2011,1071088.0,2400.0
guis,2011,5501872.0,108136.0
chat,2011,3161297.0,0.0
jotr,2011,1396237.0,5153.0
gwmp,2011,7417397.0,29992876.0
grte,2011,2587437.0,1279142.0
biso,2011,606579.0,0.0
dena,2011,406582.0,866398.0
glca,2011,2270817.0,26396.0
cuva,2011,2161185.0,192.0
mora,2011,1038229.0,457381.0
yose,2011,3951393.0,147255.0
lamr,2011,734030.0,0.0
dewa,2011,4986700.0,112277.0
upde,2011,270390.0,2130.0
buff,2011,1169802.0,0.0
lake,2011,6396682.0,232005.0
hale,2011,956989.0,29088.0
apis,2011,176040.0,1054.0
havo,2011,1352123.0,1858740.0
blri,2011,15382447.0,1942260.0
bibe,2011,361862.0,2364.0
whsa,2011,428924.0,0.0
grsm,2011,9008830.0,11287493.0
moja,2011,536006.0,0.0
caha,2011,1960711.0,102202.0
noca,2011,19208.0,0.0
ozar,2011,1365960.0,0.0
seki,2011,,
choh,2011,3937504.0,11880.0
yell,2011,3394326.0,975516.0
cana,2011,1005001.0,0.0
laro,2011,1523474.0,1200.0
cure,2011,924468.0,0.0
sacn,2011,273729.0,0.0
natr,2011,5765343.0,8759874.0
brca,2011,1296000.0,323599.0
shen,2011,1209883.0,10962.0
caco,2011,4454771.0,29548.0
bica,2011,201010.0,6900.0
slbe,2011,1348304.0,0.0
prwi,2011,379535.0,480.0
bisc,2011,476077.0,0.0
bawa,2011,,
asis,2011,2105419.0,3600.0
viis,2011,442414.0,324896.0
sara,2011,65043.0,94810.0
lake,2012,6285439.0,227969.0
grca,2012,4421352.0,51607.0
mora,2012,1049178.0,496082.0
sagu,2012,634286.0,2517040.0
yose,2012,3853404.0,142613.0
grte,2012,2705256.0,1213162.0
chis,2012,249594.0,5141.0
deva,2012,984568.0,35343.0
wica,2012,529083.0,224663.0
liri,2012,201109.0,0.0
bith,2012,135262.0,0.0
indu,2012,1889381.0,5253.0
neri,2012,1128195.0,2400.0
blri,2012,15205059.0,1942260.0
dewa,2012,4970802.0,115471.0
gari,2012,115283.0,0.0
moja,2012,542527.0,0.0
natr,2012,5560668.0,7411752.0
dena,2012,388433.0,885179.0
biso,2012,600161.0,0.0
lamr,2012,502457.0,0.0
glca,2012,2061328.0,22890.0
cach,2012,828523.0,1221144.0
colo,2012,3274187.0,2235890.0
jotr,2012,1396117.0,5106.0
acad,2012,2431052.0,47100.0
frhi,2012,34289.0,0.0
niob,2012,65999.0,0.0
caha,2012,2302040.0,123219.0
ozar,2012,1406781.0,0.0
grsm,2012,9685829.0,11090194.0
pore,2012,2412663.0,25788.0
romo,2012,3229617.0,8750.0
thro,2012,640555.0,6578.0
ever,2012,1141906.0,2273.0
seki,2012,,
glac,2012,2162035.0,19733.0
redw,2012,352517.0,0.0
apis,2012,163419.0,1054.0
shen,2012,1210200.0,10962.0
slbe,2012,1531560.0,0.0
moru,2012,2185447.0,760103.0
sacr,2012,,
yell,2012,3447729.0,1010045.0
noca,2012,26935.0,0.0
whis,2012,814374.0,6078.0
zion,2012,2973607.0,21900.0
goga,2012,14540338.0,0.0
fiis,2012,483334.0,196140.0
buff,2012,1093083.0,0.0
calo,2012,480294.0,4800.0
scbl,2012,122515.0,0.0
viis,2012,483341.0,357973.0
bawa,2012,,
bawa,2013,,
yose,2013,3691191.0,138170.0
grca,2013,4564840.0,43669.0
viis,2013,438601.0,354171.0
grsm,2013,9354695.0,10928876.0
redw,2013,393364.0,0.0
jotr,2013,1383340.0,4956.0
romo,2013,2991141.0,8750.0
grte,2013,2688794.0,1428528.0
fobo,2013,8082.0,0.0
dewa,2013,4843350.0,109056.0
sacr,2013,10709.0,0.0
peri,2013,95251.0,0.0
glac,2013,2190374.0,7897.0
ever,2013,1047116.0,2003.0
cany,2013,462242.0,0.0
natr,2013,6012740.0,8747380.0
blca,2013,175852.0,0.0
grfa,2013,,
shen,2013,1136505.0,10962.0
acad,2013,2254922.0,47100.0
gate,2013,6191246.0,769716.0
moja,2013,549599.0,0.0
upde,2013,228464.0,2130.0
goga,2013,14289121.0,0.0
buff,2013,1125227.0,0.0
neri,2013,1071823.0,2400.0
hafe,2013,255714.0,0.0
laro,2013,1254409.0,1200.0
deva,2013,951972.0,35419.0
bith,2013,120108.0,0.0
caha,2013,2214565.0,120055.0
lake,2013,6344714.0,230119.0
bibe,2013,316953.0,2364.0
chat,2013,3039892.0,0.0
guis,2013,4837965.0,96620.0
liri,2013,185477.0,0.0
blri,2013,12877368.0,1942260.0
olym,2013,3085340.0,913226.0
glca,2013,1991924.0,21044.0
seki,2013,,
chic,2013,1099669.0,1551389.0
mora,2013,1148552.0,573357.0
slbe,2013,1340007.0,0.0
chis,2013,212029.0,6006.0
isro,2013,16274.0,109.0
yell,2013,3188030.0,1049554.0
indu,2013,1681695.0,5253.0
voya,2013,233390.0,750.0
pore,2013,2641808.0,25788.0
gewa,2013,131683.0,7200.0
orpi,2013,206860.0,828592.0
zion,2013,2807387.0,21900.0
hale,2013,785300.0,29088.0
colm,2013,409351.0,314088.0
noca,2013,21623.0,0.0
crmo,2013,200525.0,0.0
crla,2013,523027.0,49600.0
nama,2013,,
gwmp,2013,7360392.0,33910598.0
caco,2013,4501898.0,29548.0
piro,2013,575450.0,1850.0
anac,2013,,
blri,2014,13941749.0,1942260.0
romo,2014,3434751.0,8750.0
gate,2014,6021713.0,814744.0
lake,2014,6942873.0,251813.0
grca,2014,4756771.0,50367.0
fofo,2014,,
acad,2014,2563129.0,47100.0
deva,2014,1101312.0,40655.0
jotr,2014,1589904.0,5820.0
pore,2014,2433944.0,25788.0
colm,2014,416862.0,316152.0
goga,2014,15004420.0,0.0
bicy,2014,1192856.0,0.0
buff,2014,1357057.0,0.0
zion,2014,3189696.0,21900.0
prsf,2014,,
grsm,2014,10099276.0,11234780.0
natr,2014,5846474.0,9601068.0
guis,2014,4455240.0,93041.0
pisc,2014,109473.0,0.0
yose,2014,3882642.0,146774.0
chat,2014,3119160.0,0.0
choh,2014,5066219.0,11880.0
nama,2014,,
rocr,2014,2437948.0,12283567.0
glca,2014,2368452.0,22525.0
seki,2014,,
asis,2014,2170681.0,3600.0
dewa,2014,4041672.0,108000.0
vafo,2014,1990881.0,0.0
safr,2014,4256888.0,0.0
keaq,2014,,
whis,2014,851901.0,6278.0
chic,2014,1152083.0,1645058.0
gwmp,2014,7472150.0,33988947.0
viis,2014,426930.0,375023.0
cana,2014,1451225.0,0.0
moja,2014,554560.0,0.0
badl,2014,868094.0,59891.0
care,2014,786514.0,46923.0
kaho,2014,154206.0,0.0
dena,2014,531315.0,837617.0
grte,2014,2791392.0,1505120.0
kemo,2014,2119013.0,25436401.0
noca,2014,23865.0,0.0
bith,2014,109956.0,0.0
drto,2014,64865.0,5847.0
amis,2014,1130096.0,1128.0
suit,2014,,
upde,2014,230845.0,2130.0
sacn,2014,671582.0,0.0
sara,2014,58773.0,91368.0
bisc,2014,525745.0,0.0
mora,2014,1264259.0,611390.0
neri,2014,1124799.0,2400.0
chis,2014,342161.0,6574.0
slbe,2014,1395401.0,0.0
yell,2014,3513484.0,1057554.0
hale,2014,1142040.0,29088.0
ozar,2014,1296437.0,0.0
caco,2014,4426750.0,29548.0
caha,2014,2153350.0,115571.0
redw,2014,429166.0,0.0
olym,2014,3243872.0,867491.0
hove,2014,26808.0,300.0
shen,2014,1255321.0,10962.0
glac,2014,2338528.0,15415.0
pinn,2014,196635.0,0.0
samo,2014,694714.0,93216.0
inde,2014,3648050.0,0.0
cany,2014,542431.0,0.0
cuga,2014,879934.0,8553790.0
wica,2014,547022.0,213488.0
wrst,2014,74722.0,0.0
laro,2014,1180898.0,1200.0
cuva,2014,2189849.0,0.0
biso,2014,599906.0,0.0
meve,2014,501563.0,4421.0
anac,2014,,
cure,2014,931367.0,0.0
lacl,2014,16100.0,0.0
bawa,2014,,
indu,2014,1553372.0,5253.0
cato,2014,188170.0,143658.0
elmo,2014,46256.0,9637.0
moru,2014,2144808.0,749709.0
bibe,2014,314102.0,2364.0
lake,2015,7298465.0,264711.0
inde,2015,4311582.0,0.0
prsf,2015,,
deva,2015,1154843.0,42662.0
guis,2015,3976883.0,91607.0
natr,2015,5785812.0,7108784.0
grba,2015,116123.0,695.0
yell,2015,4097710.0,1156118.0
yose,2015,4150217.0,155081.0
gate,2015,6392565.0,829034.0
laro,2015,1170843.0,1200.0
chic,2015,1254105.0,1665931.0
hofr,2015,180405.0,0.0
bawa,2015,,
olym,2015,3263761.0,819374.0
havo,2015,1832660.0,1855130.0
cong,2015,87513.0,0.0
ever,2015,1077427.0,1448.0
grca,2015,5520736.0,62876.0
redw,2015,527143.0,0.0
goga,2015,14888537.0,0.0
nama,2015,,
viis,2015,438372.0,359642.0
choh,2015,4798312.0,11880.0
maca,2015,566895.0,147471.0
gumo,2015,169535.0,0.0
anac,2015,,
appa,2015,,
pore,2015,2501106.0,25788.0
bicy,2015,1112290.0,0.0
drto,2015,70862.0,12117.0
ozar,2015,1277941.0,0.0
wrst,2015,80366.0,0.0
blri,2015,15054603.0,1942260.0
grsm,2015,10712674.0,11234780.0
chat,2015,3173204.0,0.0
buff,2015,1463304.0,0.0
gwmp,2015,7286463.0,34160836.0
mima,2015,964330.0,0.0
amis,2015,1250051.0,1128.0
keaq,2015,,
sacn,2015,623122.0,0.0
glac,2015,2366056.0,18826.0
dena,2015,560757.0,821207.0
grte,2015,3149921.0,1497965.0
rocr,2015,2443772.0,12283849.0
jela,2015,405618.0,192000.0
neri,2015,1178753.0,2400.0
cuga,2015,840601.0,8311786.0
pais,2015,582839.0,1800.0
badl,2015,989354.0,65911.0
whis,2015,843845.0,6214.0
care,2015,941029.0,47485.0
lamr,2015,831374.0,0.0
liri,2015,248135.0,0.0
glca,2015,2495093.0,25703.0
crla,2015,614712.0,49600.0
cany,2015,634607.0,0.0
shen,2015,1321873.0,10962.0
grfa,2015,,
caha,2015,2274635.0,122184.0
mora,2015,1237231.0,621531.0
fobo,2015,7760.0,0.0
dino,2015,291799.0,732.0
saan,2015,1322154.0,0.0
chch,2015,1002373.0,2389650.0
dewa,2015,3735134.0,108000.0
crmo,2015,246826.0,0.0
hafe,2015,282893.0,0.0
prwi,2015,312109.0,480.0
cuis,2015,59859.0,0.0
cuva,2015,2284612.0,0.0
zion,2015,3648846.0,21900.0
seki,2015,,
cure,2015,944742.0,0.0
niob,2015,68110.0,0.0
pagr,2015,,
jotr,2015,2025756.0,7680.0
sacr,2015,12557.0,0.0
brca,2015,1745804.0,419035.0
sagu,2015,753446.0,2901335.0
indu,2015,1640195.0,5253.0
whsa,2015,497506.0,0.0
noca,2015,20677.0,0.0
upde,2015,243246.0,2130.0
alpo,2015,168433.0,180.0
slbe,2015,1535633.0,0.0
mnrr,2015,145004.0,0.0
suit,2015,,
nace,2015,,
calo,2015,400413.0,4800.0
obed,2015,,
biso,2015,643135.0,0.0
colm,2015,588006.0,331829.0
romo,2015,4155916.0,8750.0
gett,2015,1080185.0,74400.0
fowa,2015,337433.0,0.0
linc,2015,7941771.0,0.0
cana,2015,1689754.0,0.0
coro,2015,132584.0,2508.0
vafo,2015,2143965.0,0.0
safr,2015,4173014.0,0.0
lake,2016,7175891.0,260265.0
cuva,2016,2423390.0,0.0
blri,2016,15175578.0,1942260.0
shen,2016,1437341.0,10962.0
yose,2016,5028868.0,188246.0
goga,2016,15638777.0,0.0
romo,2016,4517585.0,8750.0
natr,2016,5891315.0,6691579.0
grca,2016,5969811.0,60435.0
bawa,2016,,
glca,2016,3239525.0,34023.0
pore,2016,2438442.0,25788.0
gwmp,2016,10323339.0,37966590.0
grsm,2016,11312786.0,11215231.0
amis,2016,1164530.0,1128.0
hosp,2016,1544300.0,2352769.0
scbl,2016,130085.0,0.0
colo,2016,3352656.0,2106594.0
pais,2016,634012.0,1800.0
rocr,2016,2478735.0,12417838.0
cato,2016,221750.0,192896.0
zion,2016,4295127.0,21900.0
biso,2016,684715.0,0.0
ozar,2016,1241480.0,0.0
bith,2016,192809.0,0.0
seki,2016,,
bicy,2016,1102148.0,0.0
mora,2016,1356913.0,562117.0
olym,2016,3390221.0,800263.0
bost,2016,2594495.0,64980.0
choh,2016,4813078.0,11880.0
kemo,2016,2360256.0,25340650.0
ever,2016,930907.0,1162.0
neri,2016,1197931.0,2400.0
casa,2016,854664.0,0.0
guis,2016,4771309.0,100029.0
buff,2016,1785359.0,0.0
gate,2016,8651770.0,837104.0
dewa,2016,3677744.0,54000.0
dena,2016,587412.0,805746.0
buis,2016,38929.0,0.0
thro,2016,753880.0,6578.0
glac,2016,2946681.0,15823.0
chat,2016,2736385.0,0.0
laro,2016,1253571.0,1200.0
chis,2016,364807.0,7387.0
bibe,2016,388290.0,2364.0
liri,2016,462700.0,0.0
yell,2016,4257177.0,1198856.0
samo,2016,906606.0,81519.0
nama,2016,,
glba,2016,520171.0,600.0
acad,2016,3303393.0,47100.0
deva,2016,1296283.0,49687.0
grte,2016,3270076.0,1552896.0
slbe,2016,1683553.0,0.0
moru,2016,2431231.0,846071.0
dino,2016,304312.0,732.0
arch,2016,1585718.0,0.0
labe,2016,127699.0,771.0
lyjo,2016,140303.0,0.0
bisc,2016,514709.0,0.0
suit,2016,,
caha,2016,2411711.0,129387.0
vafo,2016,2428724.0,0.0
moja,2016,585635.0,0.0
coro,2016,136075.0,2508.0
anac,2016,,
cure,2016,982498.0,0.0
indu,2016,1698223.0,5253.0
crla,2016,756344.0,49600.0
apis,2016,183796.0,1054.0
jotr,2016,2505286.0,9553.0
hocu,2016,58058.0,0.0
asis,2016,2267821.0,3600.0
upde,2016,264362.0,2130.0
mnrr,2016,148210.0,0.0
wica,2016,617377.0,249618.0
band,2016,198478.0,840.0
cany,2016,776218.0,0.0
sagu,2016,820426.0,2920244.0
lamr,2016,1025613.0,0.0
lacl,2016,21102.0,0.0
bica,2016,259485.0,6900.0
clba,2016,0.0,0.0
fova,2016,1092031.0,0.0
viis,2016,411343.0,264959.0
redw,2016,536297.0,0.0
hafe,2016,335691.0,0.0
olym,2017,3401996.0,777419.0
orpi,2017,260534.0,1193054.0
glac,2017,3305512.0,15807.0
yose,2017,4336890.0,163654.0
zion,2017,4504812.0,21900.0
noca,2017,30326.0,0.0
liri,2017,367058.0,0.0
lake,2017,7882339.0,285887.0
natr,2017,6326062.0,8757308.0
caha,2017,2433703.0,129195.0
